"","country","year","sex","age","suicides_no","population","gdp_for_year","gdp_per_capita","generation","continent"
"4498","Brazil",2013,"Female","15-24",362,17123318,2472806919902,13191,"Millenials","Americas"
"4499","Brazil",2013,"Male","5-14",72,16555477,2472806919902,13191,"Generation Z","Americas"
"4500","Brazil",2013,"Female","5-14",50,15923724,2472806919902,13191,"Generation Z","Americas"
"4501","Brazil",2014,"Male","75+",390,2349303,2455993625159,12975,"Silent","Americas"
"4502","Brazil",2014,"Male","55-74",1534,12492114,2455993625159,12975,"Boomers","Americas"
"4503","Brazil",2014,"Male","35-54",3050,26475231,2455993625159,12975,"Generation X","Americas"
"4504","Brazil",2014,"Male","25-34",1982,17601477,2455993625159,12975,"Millenials","Americas"
"4505","Brazil",2014,"Male","15-24",1358,17606681,2455993625159,12975,"Millenials","Americas"
"4506","Brazil",2014,"Female","35-54",871,27971096,2455993625159,12975,"Generation X","Americas"
"4507","Brazil",2014,"Female","55-74",389,14550395,2455993625159,12975,"Boomers","Americas"
"4508","Brazil",2014,"Female","25-34",457,17539955,2455993625159,12975,"Millenials","Americas"
"4509","Brazil",2014,"Female","75+",83,3634999,2455993625159,12975,"Silent","Americas"
"4510","Brazil",2014,"Female","15-24",371,17094729,2455993625159,12975,"Millenials","Americas"
"4511","Brazil",2014,"Male","5-14",84,16299015,2455993625159,12975,"Generation Z","Americas"
"4512","Brazil",2014,"Female","5-14",62,15670559,2455993625159,12975,"Generation Z","Americas"
"4513","Brazil",2015,"Male","75+",470,2448560,1802214373741,9431,"Silent","Americas"
"4514","Brazil",2015,"Male","55-74",1693,12987357,1802214373741,9431,"Boomers","Americas"
"4515","Brazil",2015,"Male","35-54",3238,26989063,1802214373741,9431,"Generation X","Americas"
"4516","Brazil",2015,"Male","25-34",1897,17625976,1802214373741,9431,"Millenials","Americas"
"4517","Brazil",2015,"Male","15-24",1389,17569045,1802214373741,9431,"Millenials","Americas"
"4518","Brazil",2015,"Female","35-54",910,28461855,1802214373741,9431,"Generation X","Americas"
"4519","Brazil",2015,"Female","55-74",479,15122216,1802214373741,9431,"Boomers","Americas"
"4520","Brazil",2015,"Female","25-34",466,17546090,1802214373741,9431,"Millenials","Americas"
"4521","Brazil",2015,"Female","75+",89,3802086,1802214373741,9431,"Silent","Americas"
"4522","Brazil",2015,"Female","15-24",397,17047218,1802214373741,9431,"Millenials","Americas"
"4523","Brazil",2015,"Male","5-14",79,16057040,1802214373741,9431,"Generation Z","Americas"
"4524","Brazil",2015,"Female","5-14",56,15430579,1802214373741,9431,"Generation Z","Americas"
"4525","Bulgaria",1985,"Male","75+",218,166200,17155421053,2044,"G.I. Generation","Europe"
"4526","Bulgaria",1985,"Female","75+",94,222700,17155421053,2044,"G.I. Generation","Europe"
"4527","Bulgaria",1985,"Male","55-74",345,881600,17155421053,2044,"G.I. Generation","Europe"
"4528","Bulgaria",1985,"Male","35-54",278,1217500,17155421053,2044,"Silent","Europe"
"4529","Bulgaria",1985,"Female","55-74",168,952200,17155421053,2044,"G.I. Generation","Europe"
"4530","Bulgaria",1985,"Male","25-34",105,624800,17155421053,2044,"Boomers","Europe"
"4531","Bulgaria",1985,"Male","15-24",77,603600,17155421053,2044,"Generation X","Europe"
"4532","Bulgaria",1985,"Female","35-54",91,1228400,17155421053,2044,"Silent","Europe"
"4533","Bulgaria",1985,"Female","25-34",36,619200,17155421053,2044,"Boomers","Europe"
"4534","Bulgaria",1985,"Female","15-24",31,575700,17155421053,2044,"Generation X","Europe"
"4535","Bulgaria",1985,"Male","5-14",11,667800,17155421053,2044,"Generation X","Europe"
"4536","Bulgaria",1985,"Female","5-14",2,632800,17155421053,2044,"Generation X","Europe"
"4537","Bulgaria",1986,"Male","75+",172,165700,20249294118,2413,"G.I. Generation","Europe"
"4538","Bulgaria",1986,"Female","75+",96,223100,20249294118,2413,"G.I. Generation","Europe"
"4539","Bulgaria",1986,"Male","55-74",314,881400,20249294118,2413,"G.I. Generation","Europe"
"4540","Bulgaria",1986,"Male","35-54",290,1217600,20249294118,2413,"Silent","Europe"
"4541","Bulgaria",1986,"Male","25-34",123,624900,20249294118,2413,"Boomers","Europe"
"4542","Bulgaria",1986,"Female","55-74",184,951900,20249294118,2413,"G.I. Generation","Europe"
"4543","Bulgaria",1986,"Male","15-24",64,603700,20249294118,2413,"Generation X","Europe"
"4544","Bulgaria",1986,"Female","35-54",92,1228100,20249294118,2413,"Silent","Europe"
"4545","Bulgaria",1986,"Female","15-24",38,575900,20249294118,2413,"Generation X","Europe"
"4546","Bulgaria",1986,"Female","25-34",20,618800,20249294118,2413,"Boomers","Europe"
"4547","Bulgaria",1986,"Male","5-14",12,667500,20249294118,2413,"Generation X","Europe"
"4548","Bulgaria",1986,"Female","5-14",3,632900,20249294118,2413,"Generation X","Europe"
"4549","Bulgaria",1987,"Male","75+",228,172900,2.8101e+10,3355,"G.I. Generation","Europe"
"4550","Bulgaria",1987,"Female","75+",101,238800,2.8101e+10,3355,"G.I. Generation","Europe"
"4551","Bulgaria",1987,"Male","55-74",346,849500,2.8101e+10,3355,"G.I. Generation","Europe"
"4552","Bulgaria",1987,"Male","35-54",283,1181700,2.8101e+10,3355,"Silent","Europe"
"4553","Bulgaria",1987,"Female","55-74",177,946200,2.8101e+10,3355,"G.I. Generation","Europe"
"4554","Bulgaria",1987,"Male","25-34",110,634200,2.8101e+10,3355,"Boomers","Europe"
"4555","Bulgaria",1987,"Male","15-24",81,619800,2.8101e+10,3355,"Generation X","Europe"
"4556","Bulgaria",1987,"Female","35-54",81,1197400,2.8101e+10,3355,"Silent","Europe"
"4557","Bulgaria",1987,"Female","15-24",35,595300,2.8101e+10,3355,"Generation X","Europe"
"4558","Bulgaria",1987,"Female","25-34",28,625200,2.8101e+10,3355,"Boomers","Europe"
"4559","Bulgaria",1987,"Male","5-14",15,674100,2.8101e+10,3355,"Generation X","Europe"
"4560","Bulgaria",1987,"Female","5-14",7,640300,2.8101e+10,3355,"Generation X","Europe"
"4561","Bulgaria",1988,"Male","75+",204,172700,22555941176,2688,"G.I. Generation","Europe"
"4562","Bulgaria",1988,"Female","75+",102,241000,22555941176,2688,"G.I. Generation","Europe"
"4563","Bulgaria",1988,"Male","55-74",345,860200,22555941176,2688,"G.I. Generation","Europe"
"4564","Bulgaria",1988,"Male","35-54",278,1180000,22555941176,2688,"Silent","Europe"
"4565","Bulgaria",1988,"Female","55-74",165,962400,22555941176,2688,"G.I. Generation","Europe"
"4566","Bulgaria",1988,"Male","25-34",99,629400,22555941176,2688,"Boomers","Europe"
"4567","Bulgaria",1988,"Male","15-24",78,624000,22555941176,2688,"Generation X","Europe"
"4568","Bulgaria",1988,"Female","35-54",79,1197300,22555941176,2688,"Silent","Europe"
"4569","Bulgaria",1988,"Female","25-34",39,620000,22555941176,2688,"Boomers","Europe"
"4570","Bulgaria",1988,"Female","15-24",37,598100,22555941176,2688,"Generation X","Europe"
"4571","Bulgaria",1988,"Male","5-14",21,669200,22555941176,2688,"Generation X","Europe"
"4572","Bulgaria",1988,"Female","5-14",5,635500,22555941176,2688,"Generation X","Europe"
"4573","Bulgaria",1989,"Male","75+",213,174000,21988444444,2617,"G.I. Generation","Europe"
"4574","Bulgaria",1989,"Male","55-74",345,869600,21988444444,2617,"G.I. Generation","Europe"
"4575","Bulgaria",1989,"Female","75+",95,244200,21988444444,2617,"G.I. Generation","Europe"
"4576","Bulgaria",1989,"Male","35-54",289,1177800,21988444444,2617,"Silent","Europe"
"4577","Bulgaria",1989,"Female","55-74",171,977600,21988444444,2617,"G.I. Generation","Europe"
"4578","Bulgaria",1989,"Male","25-34",107,623900,21988444444,2617,"Boomers","Europe"
"4579","Bulgaria",1989,"Male","15-24",69,633700,21988444444,2617,"Generation X","Europe"
"4580","Bulgaria",1989,"Female","35-54",83,1196400,21988444444,2617,"Silent","Europe"
"4581","Bulgaria",1989,"Female","15-24",39,606700,21988444444,2617,"Generation X","Europe"
"4582","Bulgaria",1989,"Female","25-34",28,614200,21988444444,2617,"Boomers","Europe"
"4583","Bulgaria",1989,"Male","5-14",18,659300,21988444444,2617,"Generation X","Europe"
"4584","Bulgaria",1989,"Female","5-14",3,625800,21988444444,2617,"Generation X","Europe"
"4585","Bulgaria",1990,"Male","75+",174,179200,20632090909,2451,"G.I. Generation","Europe"
"4586","Bulgaria",1990,"Female","75+",98,252100,20632090909,2451,"G.I. Generation","Europe"
"4587","Bulgaria",1990,"Male","55-74",294,873400,20632090909,2451,"G.I. Generation","Europe"
"4588","Bulgaria",1990,"Male","35-54",242,1177100,20632090909,2451,"Silent","Europe"
"4589","Bulgaria",1990,"Male","25-34",106,617000,20632090909,2451,"Boomers","Europe"
"4590","Bulgaria",1990,"Female","55-74",161,986100,20632090909,2451,"G.I. Generation","Europe"
"4591","Bulgaria",1990,"Male","15-24",90,646500,20632090909,2451,"Generation X","Europe"
"4592","Bulgaria",1990,"Female","35-54",86,1197400,20632090909,2451,"Silent","Europe"
"4593","Bulgaria",1990,"Female","25-34",30,606700,20632090909,2451,"Boomers","Europe"
"4594","Bulgaria",1990,"Female","15-24",26,618000,20632090909,2451,"Generation X","Europe"
"4595","Bulgaria",1990,"Male","5-14",14,649200,20632090909,2451,"Generation X","Europe"
"4596","Bulgaria",1990,"Female","5-14",2,615800,20632090909,2451,"Generation X","Europe"
"4597","Bulgaria",1991,"Male","75+",203,176700,10943548387,1298,"G.I. Generation","Europe"
"4598","Bulgaria",1991,"Male","55-74",306,880600,10943548387,1298,"Silent","Europe"
"4599","Bulgaria",1991,"Female","75+",74,250600,10943548387,1298,"G.I. Generation","Europe"
"4600","Bulgaria",1991,"Male","35-54",289,1180500,10943548387,1298,"Boomers","Europe"
"4601","Bulgaria",1991,"Female","55-74",188,999700,10943548387,1298,"Silent","Europe"
"4602","Bulgaria",1991,"Male","25-34",111,608100,10943548387,1298,"Boomers","Europe"
"4603","Bulgaria",1991,"Male","15-24",80,659600,10943548387,1298,"Generation X","Europe"
"4604","Bulgaria",1991,"Female","35-54",69,1202100,10943548387,1298,"Boomers","Europe"
"4605","Bulgaria",1991,"Female","25-34",23,596900,10943548387,1298,"Boomers","Europe"
"4606","Bulgaria",1991,"Female","15-24",23,630000,10943548387,1298,"Generation X","Europe"
"4607","Bulgaria",1991,"Male","5-14",12,639800,10943548387,1298,"Millenials","Europe"
"4608","Bulgaria",1991,"Female","5-14",6,607300,10943548387,1298,"Millenials","Europe"
"4609","Bulgaria",1992,"Male","75+",206,164500,10350515464,1287,"G.I. Generation","Europe"
"4610","Bulgaria",1992,"Female","75+",104,234600,10350515464,1287,"G.I. Generation","Europe"
"4611","Bulgaria",1992,"Male","55-74",367,874400,10350515464,1287,"Silent","Europe"
"4612","Bulgaria",1992,"Male","35-54",319,1126700,10350515464,1287,"Boomers","Europe"
"4613","Bulgaria",1992,"Male","25-34",112,560600,10350515464,1287,"Boomers","Europe"
"4614","Bulgaria",1992,"Female","55-74",166,995100,10350515464,1287,"Silent","Europe"
"4615","Bulgaria",1992,"Male","15-24",98,626200,10350515464,1287,"Generation X","Europe"
"4616","Bulgaria",1992,"Female","35-54",81,1154800,10350515464,1287,"Boomers","Europe"
"4617","Bulgaria",1992,"Female","25-34",27,552500,10350515464,1287,"Boomers","Europe"
"4618","Bulgaria",1992,"Female","15-24",29,601100,10350515464,1287,"Generation X","Europe"
"4619","Bulgaria",1992,"Male","5-14",6,591000,10350515464,1287,"Millenials","Europe"
"4620","Bulgaria",1992,"Female","5-14",4,560000,10350515464,1287,"Millenials","Europe"
"4621","Bulgaria",1993,"Male","75+",141,156400,10829710145,1354,"G.I. Generation","Europe"
"4622","Bulgaria",1993,"Female","75+",96,225400,10829710145,1354,"G.I. Generation","Europe"
"4623","Bulgaria",1993,"Male","55-74",351,879900,10829710145,1354,"Silent","Europe"
"4624","Bulgaria",1993,"Male","35-54",308,1122800,10829710145,1354,"Boomers","Europe"
"4625","Bulgaria",1993,"Male","25-34",116,554600,10829710145,1354,"Boomers","Europe"
"4626","Bulgaria",1993,"Female","55-74",197,1008800,10829710145,1354,"Silent","Europe"
"4627","Bulgaria",1993,"Male","15-24",97,628100,10829710145,1354,"Generation X","Europe"
"4628","Bulgaria",1993,"Female","25-34",45,545500,10829710145,1354,"Boomers","Europe"
"4629","Bulgaria",1993,"Female","35-54",72,1154100,10829710145,1354,"Boomers","Europe"
"4630","Bulgaria",1993,"Female","15-24",34,602700,10829710145,1354,"Generation X","Europe"
"4631","Bulgaria",1993,"Male","5-14",10,576500,10829710145,1354,"Millenials","Europe"
"4632","Bulgaria",1993,"Female","5-14",3,546200,10829710145,1354,"Millenials","Europe"
"4633","Bulgaria",1994,"Male","75+",175,155600,9697416974,1213,"G.I. Generation","Europe"
"4634","Bulgaria",1994,"Male","55-74",364,876800,9697416974,1213,"Silent","Europe"
"4635","Bulgaria",1994,"Female","75+",86,225000,9697416974,1213,"G.I. Generation","Europe"
"4636","Bulgaria",1994,"Male","35-54",329,1125000,9697416974,1213,"Boomers","Europe"
"4637","Bulgaria",1994,"Female","55-74",160,1013800,9697416974,1213,"Silent","Europe"
"4638","Bulgaria",1994,"Male","25-34",87,558000,9697416974,1213,"Boomers","Europe"
"4639","Bulgaria",1994,"Male","15-24",84,629400,9697416974,1213,"Generation X","Europe"
"4640","Bulgaria",1994,"Female","35-54",103,1158400,9697416974,1213,"Boomers","Europe"
"4641","Bulgaria",1994,"Female","25-34",33,547900,9697416974,1213,"Boomers","Europe"
"4642","Bulgaria",1994,"Female","15-24",30,602800,9697416974,1213,"Generation X","Europe"
"4643","Bulgaria",1994,"Male","5-14",9,566000,9697416974,1213,"Millenials","Europe"
"4644","Bulgaria",1994,"Female","5-14",4,536800,9697416974,1213,"Millenials","Europe"
"4645","Bulgaria",1995,"Male","75+",169,161300,13063422619,1636,"G.I. Generation","Europe"
"4646","Bulgaria",1995,"Male","55-74",349,866200,13063422619,1636,"Silent","Europe"
"4647","Bulgaria",1995,"Female","75+",83,233300,13063422619,1636,"G.I. Generation","Europe"
"4648","Bulgaria",1995,"Male","35-54",307,1127000,13063422619,1636,"Boomers","Europe"
"4649","Bulgaria",1995,"Female","55-74",184,1009300,13063422619,1636,"Silent","Europe"
"4650","Bulgaria",1995,"Male","25-34",101,562200,13063422619,1636,"Generation X","Europe"
"4651","Bulgaria",1995,"Male","15-24",87,627900,13063422619,1636,"Generation X","Europe"
"4652","Bulgaria",1995,"Female","35-54",79,1162300,13063422619,1636,"Boomers","Europe"
"4653","Bulgaria",1995,"Female","25-34",37,550300,13063422619,1636,"Generation X","Europe"
"4654","Bulgaria",1995,"Female","15-24",24,601300,13063422619,1636,"Generation X","Europe"
"4655","Bulgaria",1995,"Male","5-14",7,555500,13063422619,1636,"Millenials","Europe"
"4656","Bulgaria",1995,"Female","5-14",6,527300,13063422619,1636,"Millenials","Europe"
"4657","Bulgaria",1996,"Male","75+",191,166200,10109612142,1270,"G.I. Generation","Europe"
"4658","Bulgaria",1996,"Male","55-74",351,855500,10109612142,1270,"Silent","Europe"
"4659","Bulgaria",1996,"Female","75+",94,242600,10109612142,1270,"G.I. Generation","Europe"
"4660","Bulgaria",1996,"Male","35-54",376,1129300,10109612142,1270,"Boomers","Europe"
"4661","Bulgaria",1996,"Female","55-74",168,1002600,10109612142,1270,"Silent","Europe"
"4662","Bulgaria",1996,"Male","25-34",91,564800,10109612142,1270,"Generation X","Europe"
"4663","Bulgaria",1996,"Male","15-24",95,626300,10109612142,1270,"Generation X","Europe"
"4664","Bulgaria",1996,"Female","35-54",90,1165500,10109612142,1270,"Boomers","Europe"
"4665","Bulgaria",1996,"Female","25-34",31,551000,10109612142,1270,"Generation X","Europe"
"4666","Bulgaria",1996,"Female","15-24",25,599600,10109612142,1270,"Generation X","Europe"
"4667","Bulgaria",1996,"Female","5-14",7,516300,10109612142,1270,"Millenials","Europe"
"4668","Bulgaria",1996,"Male","5-14",7,543600,10109612142,1270,"Millenials","Europe"
"4669","Bulgaria",1997,"Male","75+",168,170100,11195612105,1411,"G.I. Generation","Europe"
"4670","Bulgaria",1997,"Male","55-74",348,844400,11195612105,1411,"Silent","Europe"
"4671","Bulgaria",1997,"Female","75+",95,251000,11195612105,1411,"G.I. Generation","Europe"
"4672","Bulgaria",1997,"Male","35-54",301,1130700,11195612105,1411,"Boomers","Europe"
"4673","Bulgaria",1997,"Female","55-74",198,994900,11195612105,1411,"Silent","Europe"
"4674","Bulgaria",1997,"Male","25-34",87,566600,11195612105,1411,"Generation X","Europe"
"4675","Bulgaria",1997,"Male","15-24",88,625200,11195612105,1411,"Generation X","Europe"
"4676","Bulgaria",1997,"Female","35-54",103,1168000,11195612105,1411,"Boomers","Europe"
"4677","Bulgaria",1997,"Female","25-34",31,550900,11195612105,1411,"Generation X","Europe"
"4678","Bulgaria",1997,"Female","15-24",29,598000,11195612105,1411,"Generation X","Europe"
"4679","Bulgaria",1997,"Male","5-14",10,530100,11195612105,1411,"Millenials","Europe"
"4680","Bulgaria",1997,"Female","5-14",7,504000,11195612105,1411,"Millenials","Europe"
"4681","Bulgaria",1998,"Male","75+",201,174000,14630992956,1852,"G.I. Generation","Europe"
"4682","Bulgaria",1998,"Female","75+",131,260000,14630992956,1852,"G.I. Generation","Europe"
"4683","Bulgaria",1998,"Male","55-74",359,833300,14630992956,1852,"Silent","Europe"
"4684","Bulgaria",1998,"Male","35-54",299,1130500,14630992956,1852,"Boomers","Europe"
"4685","Bulgaria",1998,"Male","25-34",95,568800,14630992956,1852,"Generation X","Europe"
"4686","Bulgaria",1998,"Female","55-74",156,986700,14630992956,1852,"Silent","Europe"
"4687","Bulgaria",1998,"Male","15-24",92,623300,14630992956,1852,"Generation X","Europe"
"4688","Bulgaria",1998,"Female","35-54",90,1168900,14630992956,1852,"Boomers","Europe"
"4689","Bulgaria",1998,"Female","25-34",33,552600,14630992956,1852,"Generation X","Europe"
"4690","Bulgaria",1998,"Female","15-24",35,594600,14630992956,1852,"Generation X","Europe"
"4691","Bulgaria",1998,"Male","5-14",9,516100,14630992956,1852,"Millenials","Europe"
"4692","Bulgaria",1998,"Female","5-14",3,490700,14630992956,1852,"Millenials","Europe"
"4693","Bulgaria",1999,"Male","75+",178,179600,13495075366,1715,"G.I. Generation","Europe"
"4694","Bulgaria",1999,"Male","55-74",318,822900,13495075366,1715,"Silent","Europe"
"4695","Bulgaria",1999,"Female","75+",76,270700,13495075366,1715,"G.I. Generation","Europe"
"4696","Bulgaria",1999,"Male","35-54",301,1130200,13495075366,1715,"Boomers","Europe"
"4697","Bulgaria",1999,"Male","25-34",87,576100,13495075366,1715,"Generation X","Europe"
"4698","Bulgaria",1999,"Female","55-74",134,978500,13495075366,1715,"Silent","Europe"
"4699","Bulgaria",1999,"Male","15-24",74,616600,13495075366,1715,"Generation X","Europe"
"4700","Bulgaria",1999,"Female","35-54",80,1168900,13495075366,1715,"Boomers","Europe"
"4701","Bulgaria",1999,"Female","25-34",29,560000,13495075366,1715,"Generation X","Europe"
"4702","Bulgaria",1999,"Female","15-24",20,586400,13495075366,1715,"Generation X","Europe"
"4703","Bulgaria",1999,"Male","5-14",7,500600,13495075366,1715,"Millenials","Europe"
"4704","Bulgaria",1999,"Female","5-14",3,476100,13495075366,1715,"Millenials","Europe"
"4705","Bulgaria",2000,"Male","75+",180,186383,13153016531,1680,"G.I. Generation","Europe"
"4706","Bulgaria",2000,"Male","55-74",289,813692,13153016531,1680,"Silent","Europe"
"4707","Bulgaria",2000,"Female","75+",100,282130,13153016531,1680,"G.I. Generation","Europe"
"4708","Bulgaria",2000,"Male","35-54",371,1127394,13153016531,1680,"Boomers","Europe"
"4709","Bulgaria",2000,"Male","25-34",102,587705,13153016531,1680,"Generation X","Europe"
"4710","Bulgaria",2000,"Female","55-74",128,971686,13153016531,1680,"Silent","Europe"
"4711","Bulgaria",2000,"Male","15-24",54,605944,13153016531,1680,"Generation X","Europe"
"4712","Bulgaria",2000,"Female","35-54",97,1165489,13153016531,1680,"Boomers","Europe"
"4713","Bulgaria",2000,"Female","25-34",37,570536,13153016531,1680,"Generation X","Europe"
"4714","Bulgaria",2000,"Female","15-24",20,575493,13153016531,1680,"Generation X","Europe"
"4715","Bulgaria",2000,"Male","5-14",5,482907,13153016531,1680,"Millenials","Europe"
"4716","Bulgaria",2000,"Female","5-14",0,459736,13153016531,1680,"Millenials","Europe"
"4717","Bulgaria",2001,"Male","75+",162,192843,14075616789,1854,"Silent","Europe"
"4718","Bulgaria",2001,"Male","55-74",321,805300,14075616789,1854,"Silent","Europe"
"4719","Bulgaria",2001,"Female","75+",101,298153,14075616789,1854,"Silent","Europe"
"4720","Bulgaria",2001,"Male","35-54",301,1099625,14075616789,1854,"Boomers","Europe"
"4721","Bulgaria",2001,"Male","25-34",100,569711,14075616789,1854,"Generation X","Europe"
"4722","Bulgaria",2001,"Female","55-74",118,963174,14075616789,1854,"Silent","Europe"
"4723","Bulgaria",2001,"Male","15-24",63,569649,14075616789,1854,"Millenials","Europe"
"4724","Bulgaria",2001,"Female","35-54",94,1123319,14075616789,1854,"Boomers","Europe"
"4725","Bulgaria",2001,"Female","15-24",25,539883,14075616789,1854,"Millenials","Europe"
"4726","Bulgaria",2001,"Female","25-34",21,549756,14075616789,1854,"Generation X","Europe"
"4727","Bulgaria",2001,"Female","5-14",4,429090,14075616789,1854,"Millenials","Europe"
"4728","Bulgaria",2001,"Male","5-14",4,451423,14075616789,1854,"Millenials","Europe"
"4729","Bulgaria",2002,"Male","75+",181,198560,16276456428,2157,"Silent","Europe"
"4730","Bulgaria",2002,"Male","55-74",328,804080,16276456428,2157,"Silent","Europe"
"4731","Bulgaria",2002,"Female","75+",95,308008,16276456428,2157,"Silent","Europe"
"4732","Bulgaria",2002,"Male","35-54",315,1087841,16276456428,2157,"Boomers","Europe"
"4733","Bulgaria",2002,"Male","25-34",100,579234,16276456428,2157,"Generation X","Europe"
"4734","Bulgaria",2002,"Female","55-74",117,964392,16276456428,2157,"Silent","Europe"
"4735","Bulgaria",2002,"Male","15-24",51,562398,16276456428,2157,"Millenials","Europe"
"4736","Bulgaria",2002,"Female","35-54",77,1110364,16276456428,2157,"Boomers","Europe"
"4737","Bulgaria",2002,"Female","15-24",23,533586,16276456428,2157,"Millenials","Europe"
"4738","Bulgaria",2002,"Female","25-34",21,557945,16276456428,2157,"Generation X","Europe"
"4739","Bulgaria",2002,"Male","5-14",6,429978,16276456428,2157,"Millenials","Europe"
"4740","Bulgaria",2002,"Female","5-14",3,408024,16276456428,2157,"Millenials","Europe"
"4741","Bulgaria",2003,"Male","75+",164,202364,20982685981,2800,"Silent","Europe"
"4742","Bulgaria",2003,"Male","55-74",251,803660,20982685981,2800,"Silent","Europe"
"4743","Bulgaria",2003,"Male","35-54",261,1080294,20982685981,2800,"Boomers","Europe"
"4744","Bulgaria",2003,"Female","75+",75,315963,20982685981,2800,"Silent","Europe"
"4745","Bulgaria",2003,"Male","25-34",69,583953,20982685981,2800,"Generation X","Europe"
"4746","Bulgaria",2003,"Female","55-74",108,966825,20982685981,2800,"Silent","Europe"
"4747","Bulgaria",2003,"Male","15-24",49,555686,20982685981,2800,"Millenials","Europe"
"4748","Bulgaria",2003,"Female","35-54",67,1101408,20982685981,2800,"Boomers","Europe"
"4749","Bulgaria",2003,"Female","25-34",23,561600,20982685981,2800,"Generation X","Europe"
"4750","Bulgaria",2003,"Female","15-24",13,527203,20982685981,2800,"Millenials","Europe"
"4751","Bulgaria",2003,"Female","5-14",6,386539,20982685981,2800,"Millenials","Europe"
"4752","Bulgaria",2003,"Male","5-14",6,407671,20982685981,2800,"Millenials","Europe"
"4753","Bulgaria",2004,"Male","75+",142,206158,25957970922,3485,"Silent","Europe"
"4754","Bulgaria",2004,"Male","55-74",247,805166,25957970922,3485,"Silent","Europe"
"4755","Bulgaria",2004,"Male","35-54",238,1075305,25957970922,3485,"Boomers","Europe"
"4756","Bulgaria",2004,"Female","75+",58,323883,25957970922,3485,"Silent","Europe"
"4757","Bulgaria",2004,"Male","25-34",74,584214,25957970922,3485,"Generation X","Europe"
"4758","Bulgaria",2004,"Female","55-74",105,971907,25957970922,3485,"Silent","Europe"
"4759","Bulgaria",2004,"Male","15-24",40,548773,25957970922,3485,"Millenials","Europe"
"4760","Bulgaria",2004,"Female","35-54",75,1094568,25957970922,3485,"Boomers","Europe"
"4761","Bulgaria",2004,"Female","25-34",14,560854,25957970922,3485,"Generation X","Europe"
"4762","Bulgaria",2004,"Female","15-24",12,520846,25957970922,3485,"Millenials","Europe"
"4763","Bulgaria",2004,"Male","5-14",5,387953,25957970922,3485,"Millenials","Europe"
"4764","Bulgaria",2004,"Female","5-14",3,367936,25957970922,3485,"Millenials","Europe"
"4765","Bulgaria",2005,"Male","75+",126,209811,29636617750,4003,"Silent","Europe"
"4766","Bulgaria",2005,"Male","55-74",269,807787,29636617750,4003,"Silent","Europe"
"4767","Bulgaria",2005,"Female","75+",71,331686,29636617750,4003,"Silent","Europe"
"4768","Bulgaria",2005,"Male","35-54",214,1068843,29636617750,4003,"Boomers","Europe"
"4769","Bulgaria",2005,"Male","25-34",76,583573,29636617750,4003,"Generation X","Europe"
"4770","Bulgaria",2005,"Female","55-74",84,978437,29636617750,4003,"Silent","Europe"
"4771","Bulgaria",2005,"Male","15-24",39,540814,29636617750,4003,"Millenials","Europe"
"4772","Bulgaria",2005,"Female","35-54",56,1085400,29636617750,4003,"Boomers","Europe"
"4773","Bulgaria",2005,"Female","15-24",20,513893,29636617750,4003,"Millenials","Europe"
"4774","Bulgaria",2005,"Female","25-34",21,559525,29636617750,4003,"Generation X","Europe"
"4775","Bulgaria",2005,"Female","5-14",3,352518,29636617750,4003,"Millenials","Europe"
"4776","Bulgaria",2005,"Male","5-14",3,371764,29636617750,4003,"Millenials","Europe"
"4777","Bulgaria",2006,"Male","75+",154,212480,34130122491,4638,"Silent","Europe"
"4778","Bulgaria",2006,"Male","55-74",274,807552,34130122491,4638,"Silent","Europe"
"4779","Bulgaria",2006,"Female","75+",71,338232,34130122491,4638,"Silent","Europe"
"4780","Bulgaria",2006,"Male","35-54",196,1063959,34130122491,4638,"Boomers","Europe"
"4781","Bulgaria",2006,"Male","25-34",79,582969,34130122491,4638,"Generation X","Europe"
"4782","Bulgaria",2006,"Male","15-24",45,531167,34130122491,4638,"Millenials","Europe"
"4783","Bulgaria",2006,"Female","55-74",73,981962,34130122491,4638,"Silent","Europe"
"4784","Bulgaria",2006,"Female","35-54",53,1077713,34130122491,4638,"Boomers","Europe"
"4785","Bulgaria",2006,"Female","25-34",17,558543,34130122491,4638,"Generation X","Europe"
"4786","Bulgaria",2006,"Female","15-24",11,504961,34130122491,4638,"Millenials","Europe"
"4787","Bulgaria",2006,"Male","5-14",4,358730,34130122491,4638,"Millenials","Europe"
"4788","Bulgaria",2006,"Female","5-14",0,340240,34130122491,4638,"Millenials","Europe"
"4789","Bulgaria",2007,"Male","75+",151,215225,44411476557,6073,"Silent","Europe"
"4790","Bulgaria",2007,"Male","55-74",238,804233,44411476557,6073,"Silent","Europe"
"4791","Bulgaria",2007,"Female","75+",70,344739,44411476557,6073,"Silent","Europe"
"4792","Bulgaria",2007,"Male","35-54",180,1061001,44411476557,6073,"Boomers","Europe"
"4793","Bulgaria",2007,"Male","25-34",55,583293,44411476557,6073,"Generation X","Europe"
"4794","Bulgaria",2007,"Female","55-74",82,981661,44411476557,6073,"Silent","Europe"
"4795","Bulgaria",2007,"Male","15-24",39,518624,44411476557,6073,"Millenials","Europe"
"4796","Bulgaria",2007,"Female","35-54",58,1072051,44411476557,6073,"Boomers","Europe"
"4797","Bulgaria",2007,"Female","25-34",15,558209,44411476557,6073,"Generation X","Europe"
